,Title,Abstract,Category,Words
0,Managing big data of offshore project lifecycle through investment information system,"Big Data is popular term in some recent years and become leverage for business trend around the world. Absolutely 100% agree, all the business uses Information Technology for expanding their business and even survive on the market. IT is not supporting b Managing big data of offshore project lifecycle through investment information system",Capacity management,big data popular  recent year  leverage business trend   absolutely   agree business  information technology expanding business even survive market supporting  managing big data offshore  lifecycle investment information 
1,Governance arrangements for IT project portfolio management: Qualitative insights and a quantitative modeling approach,"Due to the growing importance of IT-based innovations, contemporary firms face an excessive number of proposals for IT projects. As typically only a fraction of these projects can be implemented with the given capacity, IT project portfolio management as Governance arrangements for IT project portfolio management: Qualitative insights and a quantitative modeling approach",Capacity management,due growing importance  based innovation contemporary firm  excessive  proposal  typically fraction  implemented  capacity    governance arrangement    qualitative insight quantitative modeling approach
2,Project Portfolio Selection Considering the Fuzzy Chance Constraint of Water Environmental Restoration,"The water environment restoration project portfolio (WERP) selection is discussed in this paper. By complying with the analysis of the project?s multidimensional property and operation mode, this paper develops the chance constraint and the management co Project Portfolio Selection Considering the Fuzzy Chance Constraint of Water Environmental Restoration",Capacity management,water environment restoration   werp selection discussed  complying analysis  multidimensional property operation mode  develops chance constraint     selection considering fuzzy chance constraint water environmental restoration
3,Study of the project portfolio model and system approach in space engineering management,"At present, for the leap-forward development, the aerospace engineering was faced with opportunities and challenges. Contradiction of the needs, capacities and resources highlighted, the traditional single aerospace project management methods cannot meet Study of the project portfolio model and system approach in space engineering management",Capacity management, leap forward development aerospace engineering  opportunity challenge contradiction  capacity resource highlighted traditional  aerospace   method meet study   model  approach space engineering 
4,Portfolio management in non-profit organizations: The case of groningen's municipality,"The purpose of this research is to develop a method to support governing the information function, and in particular, the planning and prioritization of IT projects. Groningen's municipality serves as a case study organization. The core of the methodolog Portfolio management in non-profit organizations: The case of groningen's municipality",Capacity management, research develop method support governing information function particular planning prioritization  groningen municipality serf  study organization core methodolog    profit organization  groningen municipality
5,Optimization of time and resources in a multi project environment: A case study,Strategic capacity planning is top management decision and its tough task. This paper talks about Strategic Capacity Planning for the entire plant/ company for next two years and devising a Excel template for the same to get optimal solution using Excel  Optimization of time and resources in a multi project environment: A case study,Capacity management,strategic capacity planning top  decision tough task  talk strategic capacity planning entire plant company next two year devising excel template get optimal solution  excel optimization  resource multi  environment  study
6,Predicting Project Outcomes with the Association of Project Management,"Project professionals place great value in accurately predicting project outcomes. Itis therefore unsurprising that there has been a rapid acceptance of a new suite of tools promising to forecastproject outcomes better than ever before. Within a few years the use of project data analytics has become widespread throughout project delivery organisations; they have become the norm. Most closely associated with dashboards,project data analytics is transforming projects' ability to see problems sooner and act quicker. Project data analytics however has not yet been 'professionalised'. No single organisation has yet solved how to holistically get the very best out of analytics to deliver more predictable projects, but many are trying across multiple industries. Some organisations have great solutions and ideas, but itis not yet encoded in how the profession delivers. Petrofac as part of the Project Data Analytics Task Force [1&2], a cross industry working group, have collaborated with the Association of Project Management (APM) [3] to publish a ground-breaking guide[4] designed to help project delivery organisations get started in project data analytics. In addition, a five step framework*is offered which is designed for project delivery organisations who are further long their journey with analytics. This framework recommends the steps organisations can take to improve their project predictability from basic systems, through to dashboards and onto machine learning and artificial intelligence. It also references the capabilities organisations need to consider forthe benefits to become embedded. The paper explores how superior project performance is best achieved when project data analytics is blended with the insights and actions our people bring to delivering projects; to improve resultsthis blend of data and people is noted as being essential. The paper highlights this as the most significant factor as to why data analytics programmesmay not bring the value organisations expect and why step 4 (automated performance) of the model is seen as the pivot to success. On realisation of step 5 (intelligent performance), an organisation would be expected to have embraced the market leading approaches to maximising project performance and be well placed to achieve market leading returns on investment and margin. The paper advocates that organisations should: • Adopt a 3-click rule to project information • Send the right action, to the right person, at the right time • Blend human and data insights by quantifying perceptions and makinginsights actionable • Automate Project Data Analytics into the working rhythm of project delivery This paper is deliberately aimed at the project professional and not the data science community. It simplifiesthe typical technical jargon around analytics and provides a wide variety of examples, tips and graphics that the project professional can easily relate to. *For clarity, the five step framework is solely the work of Petrofac and no third party organisation has either been asked to comment on or endorse this. No direct link should be inferred between the Petrofac framework and the Association of Project Management, the only connection is the author's involvement in both. Copyright © 2022, Society of Petroleum Engineers. Predicting Project Outcomes with the Association of Project Management",Capacity management, professional place great value accurately dicting  outcome itis therefore unsurprising  acceptance  suite tool promising forecast outcome better ever  year   data analytics  widesad throughout  delivery organisation  norm closely associated dashboard  data analytics transforming   see  sor act quicker  data analytics  yet professionalised  organisation yet solved holistically get  analytics deliver dictable   trying across multiple industry organisation great solution idea itis yet encoded profession delivers petrofac part  data analytics task force     cross industry working group collaborated association   apm   publish ground breaking guide   designed   delivery organisation get started  data analytics addition five step framework offered designed  delivery organisation  journey analytics framework recommends step organisation take improve  dict basic  dashboard onto machine learning artificial intelligence  reference cap organisation  consider forthe benefit  embedded  explores superior  performance    data analytics blended insight action people bring delivering  improve sthis blend data people noted essential  highlight significant factor data analytics programmesmay bring value organisation expect step   automated performance model seen pivot success realisation step   intelligent performance organisation would expected embraced market leading approach maximising  performance  placed  market leading return investment margin  advocate organisation adopt  click rule  information send right action right person right  blend human data insight quantifying perception makinginsights actionable automate  data analytics working rhythm  delivery  deliberately   professional data science community simplifiesthe typical technical jargon  analytics provides wide variety example tip graphic  professional easily relate clarity five step framework solely work petrofac third party organisation either asked comment endorse direct link inferred petrofac framework association   connection  involvement copyright   society petroleum engineer dicting  outcome association  
7,Key success factors in Business Intelligence,"Business Intelligence can bring critical capabilities to an organization, but the implementation of such capabilities is often plagued with problems. Why is it that certain projects fail, while others succeed? The aim of this article is to identify the factors that are present in successful Business Intelligence projects and to organize them into a framework of critical success factors. A survey was conducted during the spring of 2011 to collect primary data on Business Intelligence projects. Findings confirm that Business Intelligence projects are wrestling with both technological and non-technological problems, but the non-technological problems are found to be harder to solve as well as more time consuming than their counterparts. The study also shows that critical success factors for Business Intelligence projects are different from success factors for Information Systems projects in general. Business Intelligences projects have critical success factors that are unique to the subject matter. Major differences can be found primarily among non-technological factors, such as the presence of a specific business need and a clear vision to guide the project. Success depends on types of project funding, the business value provided by each iteration in the project and the alignment of the project to a strategic vision for Business Intelligence at large. Furthermore, the study provides a framework for critical success factors that, explains sixty-one percent of variability of success for projects. Areas which should be given special attention include making sure that the Business Intelligence solution is built with the end users in mind, that the Business Intelligence solution is closely tied to the company's strategic vision and that the project is properly scoped and prioritized to concentrate on the best opportunities first. Key success factors in Business Intelligence",Capacity management,business intelligence bring critical cap organization implementation cap  plagued  certain  fail others succeed  article  factor  successful business intelligence  organize framework critical success factor survey conducted spring   collect primary data business intelligence  finding confirm business intelligence  wrestling technological  technological   technological  found harder solve   consuming counterpart study   critical success factor business intelligence   success factor information   general business intelligence  critical success factor unique subject matter major difference found primarily among  technological factor sence specific business  clear vision guide  success depends type  funding business value provided iteration  alignment  strategic vision business intelligence large furthermore study provides framework critical success factor explains sixty  percent vari success    special attention  making sure business intelligence solution  end  mind business intelligence solution closely tied company strategic vision  properly scoped prioritized concentrate  opportunity first  success factor business intelligence
8,Data-driven demand response characterization and quantification,"Analysis of load behavior in demand response (DR) schemes is important to evaluate the performance of participants. Very few real-world experiments have been carried out and quantification and characterization of the response is a difficult task. Nevertheless it will be a necessary tool for portfolio management of consumers in a DR framework. In this paper we develop methods to quantify and characterize the amount of DR in a load. The contribution to the aggregated load from each household is quantified on a daily basis, showing the potential variability of the response in time. Clustering on the average values and standard deviation of the contribution regroups households with the same average response. Independent Component Analysis (ICA) is used to characterize different DR delivery profiles. © 2017 IEEE. Data-driven demand response characterization and quantification",Capacity management,analysis load behavior demand response  scheme important evaluate performance participant real  experiment carried quantification characterization response difficult task nevertheless necessary tool   consumer  framework  develop method quantify characterize amount  load contribution aggregated load hohold quantified daily basis ing potential vari response  clustering average value standard deviation contribution regroups hohold average response independent compnt analysis ica  characterize   delivery profile   ieee data driven demand response characterization quantification
9,The interplay between dynamic capabilities? dimensions and their relationship to project portfolio agility and success,"Recent literature emphasizes agility's importance for a project portfolio's success in a dynamic environment. Conceptually, dynamic capabilities should be relevant antecedents for portfolio agility since they help organizations cope with dynamic environm The interplay between dynamic capabilities? dimensions and their relationship to project portfolio agility and success",Capacity management,recent literature emphasizes agility importance   success dynamic environment ually dynamic cap relevant antecedent  agility since  organization cope dynamic environm interplay dynamic cap dimension relationship   agility success
