Title,Authors,Year,Cited by,Abstract,DOI,Link,EID,Criterios,Publicación,Cómo aporta la analítica?,PUBLISHER,H-Index,Quartiles,Nota,URL,
A Dashboard to Support Management of Business Analytics Capabilities,Santiago Rivera D.; Shanks G.,2015,22,"Business analytics (BA) systems create value and provide competitive advantage for organisations. They involve technology and data infrastructure, BA capabilities and business processes that provide useful insights and support decision-making. To provide value and competitive advantage, BA capabilities should be valuable, rare and inimitable, and have organisational support (VRIO). In this paper, we develop and evaluate a prototype dashboard for the VRIO assessment of BA capabilities. The dashboard is intended to support the strategic management of BA capabilities. We discuss implications of the prototype dashboard for researchers and practitioners and suggest directions for future research. © 2015 Taylor & Francis.",10.1080/12460125.2015.994335,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924258742&doi=10.1080%2f12460125.2015.994335&partnerID=40&md5=539d4ba1d88d21fe983f62cdaa48b6d1,2-s2.0-84924258742,Alineación con la estrategia y objetivos,Journal of Decision Systems,Cómo alinearse con la estrategía a partir de la analítica?,,28,"Library and Information Sciences 	2022 	Q1
Management Information Systems	 2022 	Q2",,,researchgate
"Project portfolio selection problems: A review of models, uncertainty approaches, solution techniques, and case studies",Mohagheghi V.; Mousavi S.M.; Antuchevi?ien? J.; Mojtahedi M.,2019,18,"Project portfolio selection has been the focus of many scholars in the last two decades. The number of studies on the strategic process has significantly increased over the past decade. Despite this increasing trend, previous studies have not been yet critically evaluated. This paper, therefore, aims to presents a comprehensive review of project portfolio selection and optimization studies focusing on the evaluation criteria, selection approach, solution approach, uncertainty modeling, and applications. This study reviews more than 140 papers on project portfolio selection research topic to identify the gaps and to present future trends. The findings show that not only the financial criteria but also social and environmental aspects of project portfolios have been focused by researchers in project portfolio selection in recent years. In addition, meta-heuristics and heuristics approach to finding the solution of mathematical models have been the critical research by scholars. Expert systems, artificial intelligence, and big data science have not been considered in project portfolio selection in the previous studies. In future, researchers can investigate the role of sustainability, resiliency, foreign investment, and exchange rates in project portfolio selection studies, and they can focus on artificial intelligence environments using big data and fuzzy stochastic optimization techniques. © 2019 The Author(s).",10.3846/tede.2019.11410,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076850409&doi=10.3846%2ftede.2019.11410&partnerID=40&md5=86ac10e37faf87ad45e68f8d8aa2ab99,2-s2.0-85076850409,Criterios para establecer objetivos de valor,Technological and Economic Development of Economy,Cómo la analítica aporta en la selección de proyectos?,Vilnius Gediminas Technical University,59,"Finance	 2022 	Q2",,,
A decision-making framework for project portfolio planning at Intel Corporation,Sampath S.; Gel E.S.; Fowler J.W.; Kempf K.G.,2015,12,"The work we describe addresses the problem of deciding between project-funding opportunities under budget and headcount constraints. Although the projects lead to products that yield revenue in the market, complex interactions between the projects and products make the selection of a portfolio difficult. Furthermore, the senior managers in the company have a wealth of business intuition that can inform the required decisions. We combine modeling, simulation, and optimization techniques to provide a set of the best portfolios possible from the proposed projects and resulting products. We also provide a rich set of analysis and visualization tools for the decision makers to use in exploring the suggested portfolios and applying their intuition to make the final selection. The resulting interplay between analytics and intuition produces better business solutions through a more focused and effective debate in a shorter time than previously achieved. © 2015 INFORMS.",10.1287/inte.2015.0809,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949207726&doi=10.1287%2finte.2015.0809&partnerID=40&md5=0c7ce633f686b682dd09661d60b32a9a,2-s2.0-84949207726,Alineación con la estrategia y objetivos,Interfaces,Cómo la analítica aporta en la gestión y planeación de capacidades?,,69,"Management of Technology and Innovation 	2022 	Q2
Management Science and Operations Research	 2022 	Q2
Strategy and Management 	2022 	Q2",,,
Big data analytics in innovation processes: which forms of dynamic capabilities should be developed and how to embrace digitization?,Capurro R.; Fiorentino R.; Garzella S.; Giudici A.,2021,7,"Purpose: The purpose of this paper is to analyze, from a dynamic capabilities perspective, the role of big data analytics in supporting firms' innovation processes. 
Design/methodology/approach: Relevant literature is reviewed and critically assessed. An interpretive methodology is used to analyze empirical data from interviews of big data analytics experts at firms within digitally related sectors. 
Findings: This study shows how firms leverage big data to gain “richer” and “deeper” data at the inter-sections between the digital and physical worlds. The authors provide evidence for the importance of counterintuitive strategies aimed at developing innovative products, services or solutions with characteristics that may initially diverge, even significantly, from established customer/user needs. 
Practical implications: The authors’ findings offer insights to help practitioners manage innovation processes in the physical world while taking investments in big data analytics into account. 
Originality/value: The authors provide insights into the evolution of scholarly research on innovation directed toward opportunities to create a competitive advantage by offering new products, services or solutions diverging, even significantly, from established customer demand. © 2021, Rosita Capurro, Raffaele Fiorentino, Stefano Garzella and Alessandro Giudici.",10.1108/EJIM-05-2021-0256,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110841823&doi=10.1108%2fEJIM-05-2021-0256&partnerID=40&md5=0121009524965629442733ff4327b8e3,2-s2.0-85110841823,Optimización,"European Journal of Innovation
Management",Cómo la analítica permite optimizar la gestión de las capacidades?,Emerald Group Publishing Ltd.,74,"Management of Technology and Innovation 	2022 	Q1",,,
A Data-driven project categorization process for portfolio selection,"El bok G., Berrado A.",2022,2,"Purpose: Categorizing projects allows for better alignment of a portfolio with the organizational strategy and goals. An appropriate project categorization helps understand portfolio’s structure and enables proper project portfolio selection (PPS). In practice, project categorization is, however, conducted in intuitive approaches. Furthermore, little attention has been given to project categorization methods in the project management literature. The purpose of this paper is to provide researchers and practitioners with a data-driven project categorization process designed for PPS. Design/methodology/approach: The suggested process was modeled considering the main characteristics of project categorization systems revealed from the literature. The clustering analysis is used as the core-computing technology, allowing for an empirically based categorization. This study also presents a real-world case study in the automotive industry to illustrate the proposed approach. Findings: This study confirmed the potential of clustering analysis for a consistent project categorization. The most important attributes that influenced the project grouping have been identified including strategic and intrinsic features. The proposed approach helps increase the visibility of the portfolio’s structure and the comparability of its components. Originality/value: There is a lack of research regarding project categorization methods, particularly for the purpose of PPS. A novel data-driven process is proposed to help mitigate the issues raised by prior researchers including the inconsistencies, ambiguities and multiple interpretations related to the taken-for-granted categories. The suggested approach is also expected to facilitate projects evaluation and prioritization within appropriate categories and contribute in PPS effectiveness. © 2021, Emerald Publishing Limited.",10.1108/JM2-10-2020-0257,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109023786&doi=10.1108%2fJM2-10-2020-0257&partnerID=40&md5=d11438e8df2d0cbd807c2367b594e208,2-s2.0-85109023786,Selección,"Journal of Modelling in
Management",,,37,"Decision Sciences (miscellaneous) 	2022 	Q2
Management Science and Operations Research 	2022 	Q2
Strategy and Management 	2022 	Q2",,,
How to measure and manage the UK Government’s major project portfolio,"Bourne M., Anker D., Chambers G., Torjai L.",2020,1,"Purpose: The purpose of this paper is to stimulate changes to the way performance data is used to improve performance taking the government’s use of project data as an example. Design/methodology/approach: This paper uses systems theory to review the way the government’s major projects portfolio should be analysed. Findings: This paper concludes that broader engagement in the analytics process should be considered as a way of improving insights and learning from reviews. The paper suggests that report alone has limited value. Research limitations/implications: By taking a systems approach, this study raises questions about the methods used to manage data analysis and system improvements. Systems thinking is a useful tool to consider applications such as the performance of the government’s project portfolio, but there are many other approaches that can be applied. Practical implications: This study makes very specific recommendations around the roles and responsibilities of people and teams at different levels in the system. Roles and activities are described together with recommendations about interfering in and overreaching these roles and activities. Originality/value: This paper synthesises a number of systems approaches together with a view of why “we measure” to create a framework for analysing approaches to performance improvement. The practical application provided here gives insights into how these approaches can be used in real-life contexts. © 2020, Emerald Publishing Limited.",10.1108/MBE-02-2020-0035,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091167677&doi=10.1108%2fMBE-02-2020-0035&partnerID=40&md5=af37706c17f3c6fba6ac71271e126383,2-s2.0-85091167677,Alineación con la estrategia y objetivos,Measuring Business Excellence,,Emerald Publishing Limited,49,"Organizational Behavior and Human Resource Management 	2022 	Q2
Business, Management and Accounting (miscellaneous) 	2022 	Q2",,,
Machine learning in project analytics: a data-driven framework and case study,Uddin S.; Ong S.; Lu H.,2022,1,"The analytic procedures incorporated to facilitate the delivery of projects are often referred to as project analytics. Existing techniques focus on retrospective reporting and understanding the underlying relationships to make informed decisions. Although machine learning algorithms have been widely used in addressing problems within various contexts (e.g., streamlining the design of construction projects), limited studies have evaluated pre-existing machine learning methods within the delivery of construction projects. Due to this, the current research aims to contribute further to this convergence between artificial intelligence and the execution construction project through the evaluation of a specific set of machine learning algorithms. This study proposes a machine learning-based data-driven research framework for addressing problems related to project analytics. It then illustrates an example of the application of this framework. In this illustration, existing data from an open-source data repository on construction projects and cost overrun frequencies was studied in which several machine learning models (Python’s Scikit-learn package) were tested and evaluated. The data consisted of 44 independent variables (from materials to labour and contracting) and one dependent variable (project cost overrun frequency), which has been categorised for processing under several machine learning models. These models include support vector machine, logistic regression, k-nearest neighbour, random forest, stacking (ensemble) model and artificial neural network. Feature selection and evaluation methods, including the Univariate feature selection, Recursive feature elimination, SelectFromModel and confusion matrix, were applied to determine the most accurate prediction model. This study also discusses the generalisability of using the proposed research framework in other research contexts within the field of project management. The proposed framework, its illustration in the context of construction projects and its potential to be adopted in different contexts will significantly contribute to project practitioners, stakeholders and academics in addressing many project-related issues. © 2022, The Author(s).",10.1038/s41598-022-19728-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138126779&doi=10.1038%2fs41598-022-19728-x&partnerID=40&md5=41090bb4d7a9c0ca75e1b7c4a5712b8a,2-s2.0-85138126779,Selección,Scientific Reports,,Nature Publishing Group,282,Multidisciplinary 2022 Q1,,,
A dashboard to support management of business analytics capabilities,Rivera D.S.; Shanks G.,2014,0,"Business analytics (BA) systems create value and provide competitive advantage for organisations. They involve technology and data infrastructure, BA capabilities, and business processes that provide useful insights and support decision-making. To provide value and competitive advantage, BA capabilities should be valuable, rare, inimitable and have organisational support (VRIO). In this paper, we develop and evaluate a prototype dashboard for the VRIO assessment of BA capabilities. The dashboard is intended to support the strategic management of BA capabilities. We discuss implications of the prototype dashboard for researchers and practitioners and suggest directions for future research. © 2014 The authors and IOS Press. All rights reserved.",10.3233/978-1-61499-399-5-253,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902249843&doi=10.3233%2f978-1-61499-399-5-253&partnerID=40&md5=61ac31a8d23930c036da7a39993aaab1,2-s2.0-84902249843,Alineación con la estrategia y objetivos,Journal of Decision Systems,,Taylor and Francis Ltd.,28,"Management Information Systems 	2022 	Q2
Library and Information Sciences 	2022 	Q1",,,
"A new strategic approach for R&D
project portfolio selection using
efficiency-uncertainty maps","Mehdi Namazi; 
Madjid Tavana; 
Emran Mohammadi;
Ali Bonyadi Naeini ",2022,,"Purpose – New business practices and the globalization of markets force firms to take innovation as the
fundamental pillar of their competitive strategy. Research and Development (R&D) plays a vital role in innovation. As technology advances and product life cycles become shorter, firms rely on R&D as a strategy to invigorate innovation. R&D project portfolio selection is a complex and challenging task. Despite the management’s efforts to implement the best project portfolio selection practices, many projects continue to fail or miss their target. The problem is that selecting R&D projects requires a deep understanding of strategic vision and technical capabilities. However, many decision-makers lack technological insight or strategic vision. This article aims to provide amethod to capitalize on the expertise of R&Dprofessionals to assistmanagers inmaking informed and effective decisions. It also provides a framework for aligning the portfolio of R&D projects with the organizational vision and mission.
Design/methodology/approach – This article proposes a new strategic approach for R&D project portfolio
selection using efficiency-uncertainty maps.
Findings – The proposed strategy plane helps decision-makers align R&D project portfolios with their strategies to combine a strategic view and numerical analysis in this research. The proposed strategy plane consists of four areas: Exploitation Zone, Challenge Zone, Desperation Zone and Discretion Zone. Mapping the project into this strategic plane would help decision-makers align their project portfolio according to the corporate perspectives.
Originality/value – The new approach combines the efficiency and uncertainty dimensions in portfolio selection into an integrated framework that: (i) provides a complete representation of the stochastic decision-making processes, (ii) models the endogenous uncertainty inherent in the project selection process and (iii) proposes a computationally practical and visually unique solution procedure for classifying desirable and undesirable R&D projects.
Keywords Project management, Risk management, Research and development, Efficiency, Uncertainty,
Strategy map Paper type Research paper",,,,Selección,Benchmarking,,Emerald Group Publishing Ltd.,74,"Business and International Management	 2022 	Q1
Strategy and Management 	2022	 Q1",,,
Big data team process methodologies: A literature review and the identification of key factors for a project's success,Saltz J.S.; Shamshurin I.,2016,64,"This paper reports on our review of published research relating to how teams work together to execute Big Data projects. Our findings suggest that there is no agreed upon standard for executing these projects but that there is a growing research focus in this area and that an improved process methodology would be useful. In addition, our synthesis also provides useful suggestions to help practitioners execute their projects, specifically our identified list of 33 important success factors for executing Big Data efforts, which are grouped by our six identified characteristics of a mature Big Data organization. © 2016 IEEE.",10.1109/BigData.2016.7840936,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015205680&doi=10.1109%2fBigData.2016.7840936&partnerID=40&md5=920e11bca1436e1226480056fc7ac352,2-s2.0-85015205680,Criterios para establecer objetivos de valor,2016 IEEE International Conference on Big Data,Factores de éxito para desarrollar proyectos de analítica?,IEEE,26,Rank: B,,,
