Title,Alineamiento estatégico,Manejo de valor,Manejo de riesgo,Manejo de gobernanza,Otros,Monitoreo y control de portafolio
Constructive Alignment by Portfolio Exams for an Advanced Control Master Module ★,5.26,11.88,8.41,18.34,7.6,10.81
Realising the promises of artificial intelligence in manufacturing by enhancing CRISP-DM,7.6,16.02,13.08,16.59,10.88,12.5
Application of Geographic Information Systems in Impact Evaluation and Geospatial Portfolio Analysis of Transport Projects,7.89,17.13,12.85,18.34,10.88,13.51
Optimization algorithms and investment portfolio analytics with machine learning techniques under time-varying liquidity constraints,9.36,21.27,15.89,16.16,11.5,15.2
"Harnessing the power of synthetic data in healthcare: innovation, application, and privacy",6.87,14.64,12.62,16.16,10.68,12.16
Board 144: Interdisciplinary & International Research Experiences in Bioinspired Science & Technology,11.4,23.76,16.59,23.14,16.43,19.59
Exploring Data Analysis and Visualization Techniques for Project Tracking: Insights from the ITC,10.53,18.23,15.89,20.09,13.76,16.55
Creating customer value from data: foundations and archetypes of analytics-based services,8.33,15.19,12.85,15.72,10.27,14.19
Benchmarking of construction projects performance for comparative assessment and performance improvement: a statistical quantitative approach,10.96,20.44,14.49,21.83,12.73,22.64
Trends in the thematic landscape of HR analytics research: a structural topic modeling approach,10.23,22.1,12.85,19.65,11.09,15.88
New Technique for Stock Trend Analysis - Volume-weighted Squared Moving Average Convergence & Divergence,7.31,19.61,13.08,16.59,11.5,16.89
"Leveraging RDF Graphs, Similarity Metrics and Network Analysis for Business Process Management",5.99,12.98,10.05,22.71,9.03,12.84
Enterprise Financial Project Management by Visual Analytics Tools,10.38,15.47,14.02,18.78,12.73,16.89
Corporate Renewable Procurement Analytics,7.6,16.85,13.79,14.41,10.06,12.84
"Project Management Methodology in the Practice of Evidence-Based Development, Evidence-Based Policy",7.02,14.64,12.85,14.85,9.86,13.18
Fault analysis of truck drivelines using big data methods,10.38,18.78,16.12,20.09,13.35,17.23
Data-driven approaches can harness crop diversity to address heterogeneous needs for breeding products,7.75,14.64,12.15,17.03,10.68,12.16
Data-Driven Approach to Risk Identification for Major Transportation Projects: A Common Risk Breakdown Structure,7.16,19.34,13.55,15.28,10.88,15.54
Inductive Representation Learning on Dynamic Stock Co-Movement Graphs for Stock Predictions,5.99,13.26,11.45,13.1,9.24,11.49
"Successful innovation and the alignment of knowledge workers at the executive, management, and technical specialist levels",5.41,16.02,9.11,13.97,8.42,11.15
Exploring the Effects of Data-Driven Hospital Operations on Operational Performance from the Resource Orchestration Theory Perspective,8.19,16.02,12.85,15.72,10.06,16.55
Automated Fixing Cost Estimation of Photovoltaic System Failures for the Creation of a Decision Support System,6.87,17.4,12.38,14.41,9.45,11.15
Digital Twins of Complex Projects,12.13,21.55,20.09,21.83,16.02,17.91
IEEE Technology and Engineering Management Society Body of Knowledge (TEMSBOK),9.94,20.72,15.89,18.78,14.37,15.54
The development of a competence framework for artificial intelligence professionals using probabilistic topic modelling,8.63,19.34,13.08,22.71,11.5,14.19
Modern Metrics (MM): Software size estimation using function points for artificial intelligence and data analytics applications and finding the effort modifiers of the functional units using indian software industry,6.73,16.02,11.92,20.09,9.24,12.16
A Comparison of ResidentCompleted and Preceptor-Completed Formative Workplace-Based Assessments in a CompetencyBased Medical Education Program,7.02,16.02,13.32,15.28,10.47,16.55
Effect of Big Data and Analytics on Managing Projects,7.46,17.96,12.62,17.47,11.5,15.2
Hot Off the Press: Predicting Intraday Risk and Liquidity with News Analytics,5.7,16.02,12.85,17.9,9.65,13.51
Practicable optimization for portfolios that contain nonfungible tokens,5.56,12.15,10.05,13.1,7.6,11.49
Advancement in business analytics tools for higher financial performance,7.46,13.54,10.98,19.21,8.83,13.18
Insight-Driven Digital Engineering - A Key Enabler Driving Operational Intelligence in the Energy Industry,8.63,19.61,16.36,21.4,13.76,14.86
"Little rewards, big changes: Using exercise analytics to motivate sustainable changes in physical activity",5.56,13.26,9.81,14.41,6.16,11.49
The role of big data analytics and organizational agility in improving organizational performance of business processing organizations,9.8,19.06,11.68,20.96,11.7,16.89
Heterogeneities among credit risk parameter distributions: the modality defines the best estimation method,6.73,17.13,12.85,12.66,10.27,14.53
Neural networks meet least squares Monte Carlo at internal model data,4.82,13.54,9.58,14.85,9.03,11.49
Ex Post Project Risk Assessment: Method and Empirical Study,7.16,16.57,14.95,15.72,12.53,15.2
Deterministic and Probabilistic Risk Management Approaches in Construction Projects: A Systematic Literature Review and Comparative Analysis,8.04,18.78,14.25,17.9,11.5,11.15
Investment decisions and passive portfolio construction utilizing patent analytics: A multi-case study on COVID-19 treatment technologies,6.87,18.78,12.62,22.27,9.03,14.19
A resource orchestration perspective of organizational big data analytics adoption: evidence from supply chain planning,8.04,16.85,11.21,16.16,10.06,13.18
Upper funnel ad effectiveness and seasonality in consumer durable goods,5.26,12.15,10.51,17.9,9.03,13.51
A Stacked Model for Approving Bank Loans,9.5,18.23,14.95,19.21,12.53,19.59
Pricing and CEOs: why top executives need to get involved,9.21,15.19,12.62,17.47,12.11,14.86
How greater data access will make civil engineering and construction more productive,4.39,11.6,8.18,13.54,6.78,9.46
Management Model and Capture of Benefits Integrated into the Practice of Project Management,7.75,14.36,13.32,17.03,10.68,15.2
A NEW REALITY: The Close Interaction Between Economic Theory and Practice,7.6,18.51,15.42,16.59,10.27,11.49
Seismic risk prioritisation schemes for reinforced concrete bridge portfolios,6.58,16.3,13.08,15.72,9.45,17.23
Digital transformation from data science: A source of organizational agility,6.73,15.47,11.21,18.78,8.83,10.14
The emotional and social side of analytics professionals: an exploratory study of the behavioral profile of data scientists and data analysts,9.65,19.06,14.25,23.14,11.5,13.85
Solar Photovoltaic Modules’ Performance Reliability and Degradation Analysis—A Review,9.94,22.1,17.76,19.21,14.37,20.61
Bioprocessing 4.0 in biomanufacturing: paving the way for sustainable bioeconomy,7.6,17.13,11.92,17.47,9.65,14.53
Strategic Resource Allocation in Project Management: A Fusion of ERM and Financial Insights in the Financial Sector,8.19,15.19,14.72,17.9,11.7,16.89
Handbook of Price Impact Modeling,7.46,15.47,12.85,15.28,9.45,13.85
Manpower forecasting models in the construction industry: a systematic review,11.11,26.8,17.29,19.21,13.96,19.26
Data management within new product development and collaborative engineering: a bibliometric and systemic analysis,8.33,20.99,12.85,16.16,11.29,14.19
Business Value Creation Through Project Management Based on Big Data Approach,6.73,14.92,11.21,19.65,14.78,12.84
Bitcoin Price Forecasting and Trading: Data Analytics Approaches,8.48,19.61,14.25,17.47,11.91,16.55
Understanding project success involving analytic-based decision support in the digital era: a focus on IC and agile project management,10.09,22.1,14.49,24.89,12.11,16.89
E-Portfolio as a Component of the Information and Analytical System of Scientific Staff Training,7.46,14.92,14.49,15.72,11.09,13.85
"Essentials of Excel VBA, Python, and R: Volume II: Financial Derivatives, Risk Management and Machine Learning",6.29,16.57,12.15,14.85,9.03,12.5
Mapping business analytics skillsets with industries: empirical evidence from online job advertisements,9.8,17.68,12.15,21.83,11.29,17.91
Integrating Customer Portfolio Theory and the Multiple Sources of Risk Approaches to Model Risk-Adjusted Revenue,5.7,14.64,9.35,16.16,9.24,14.19
Constrained optimization algorithms for the computation of investable portfolios analytics: evaluation of economic-capital parameters for performance measurement and improvement,9.36,19.61,16.36,17.47,12.94,12.84
Verification and Validation for a Project Information Model Based on a Blockchain,7.75,14.09,12.15,17.03,10.27,12.16
Accelerating and Scaling Data Products with Serverless,9.5,16.3,14.02,19.21,11.91,15.2
Video Surveillance Architecture from the Cloud to the Edge,6.43,14.92,12.15,17.03,9.86,13.18
Responsible Knowledge Management in Energy Data Ecosystems,6.87,14.64,11.21,15.72,9.65,11.15
