Title,Capacity management,Change Management,Financial management,Governance,Monitoring and control,Risk management,Stakeholder management,Strategic alignment,Value management
Constructive Alignment by Portfolio Exams for an Advanced Control Master Module ★,2.61,0.7,2.8,3.46,4.04,3.34,3.03,2.94,2.93
Realising the promises of artificial intelligence in manufacturing by enhancing CRISP-DM,6.61,5.63,7.12,5.38,5.53,5.8,5.19,4.79,6.85
Application of Geographic Information Systems in Impact Evaluation and Geospatial Portfolio Analysis of Transport Projects,6.81,8.45,6.36,7.69,5.32,6.33,6.06,5.52,7.82
Optimization algorithms and investment portfolio analytics with machine learning techniques under time-varying liquidity constraints,8.42,9.86,8.91,6.54,7.87,8.44,9.52,7.12,9.54
"Harnessing the power of synthetic data in healthcare: innovation, application, and privacy",5.01,7.75,6.11,6.54,4.68,5.98,6.49,5.15,6.85
Board 144: Interdisciplinary & International Research Experiences in Bioinspired Science & Technology,10.62,14.79,12.98,11.15,10.43,10.54,11.26,8.71,11.49
Exploring Data Analysis and Visualization Techniques for Project Tracking: Insights from the ITC,8.22,9.86,7.63,12.31,8.09,8.79,8.23,8.59,11.0
Creating customer value from data: foundations and archetypes of analytics-based services,6.21,4.93,5.85,6.92,5.74,5.8,8.66,5.64,5.87
Benchmarking of construction projects performance for comparative assessment and performance improvement: a statistical quantitative approach,6.21,10.56,7.12,8.08,10.64,8.61,6.93,7.48,9.54
Trends in the thematic landscape of HR analytics research: a structural topic modeling approach,6.21,8.45,8.14,8.85,8.51,6.5,7.79,7.24,11.0
New Technique for Stock Trend Analysis - Volume-weighted Squared Moving Average Convergence & Divergence,5.61,5.63,7.38,6.15,7.87,6.15,3.9,4.91,8.31
"Leveraging RDF Graphs, Similarity Metrics and Network Analysis for Business Process Management",3.61,5.63,4.83,5.38,5.11,4.22,5.19,3.8,4.65
Enterprise Financial Project Management by Visual Analytics Tools,7.21,6.34,7.38,8.08,6.38,6.85,8.66,6.87,6.6
Corporate Renewable Procurement Analytics,6.41,9.86,7.63,3.46,7.02,6.5,4.33,5.89,8.56
"Project Management Methodology in the Practice of Evidence-Based Development, Evidence-Based Policy",4.01,3.52,6.36,6.15,5.53,5.62,6.49,4.66,4.89
Fault analysis of truck drivelines using big data methods,7.41,11.27,9.67,7.31,8.94,9.14,6.49,6.87,8.8
Data-driven approaches can harness crop diversity to address heterogeneous needs for breeding products,6.61,9.15,6.87,10.0,5.32,6.85,8.23,5.89,7.33
Data-Driven Approach to Risk Identification for Major Transportation Projects: A Common Risk Breakdown Structure,6.01,6.34,7.63,5.77,6.81,7.03,7.36,5.77,8.07
Inductive Representation Learning on Dynamic Stock Co-Movement Graphs for Stock Predictions,4.21,6.34,4.83,2.69,4.47,4.39,3.46,4.91,4.65
"Successful innovation and the alignment of knowledge workers at the executive, management, and technical specialist levels",4.61,3.52,4.33,4.62,4.26,3.16,4.33,3.68,6.11
Exploring the Effects of Data-Driven Hospital Operations on Operational Performance from the Resource Orchestration Theory Perspective,5.61,4.23,5.6,8.46,5.96,5.8,8.23,5.28,7.58
Automated Fixing Cost Estimation of Photovoltaic System Failures for the Creation of a Decision Support System,4.01,7.75,7.89,5.0,5.11,6.5,5.19,4.91,7.82
Digital Twins of Complex Projects,10.22,12.68,13.99,11.92,11.06,12.83,9.96,10.43,13.69
IEEE Technology and Engineering Management Society Body of Knowledge (TEMSBOK),9.62,7.04,8.91,8.85,7.66,8.61,10.39,7.24,9.05
The development of a competence framework for artificial intelligence professionals using probabilistic topic modelling,5.81,7.04,7.89,10.0,6.38,7.03,8.66,6.38,8.56
Modern Metrics (MM): Software size estimation using function points for artificial intelligence and data analytics applications and finding the effort modifiers of the functional units using indian software industry,4.41,2.82,4.83,6.15,4.89,5.27,4.33,4.42,5.13
A Comparison of ResidentCompleted and Preceptor-Completed Formative Workplace-Based Assessments in a CompetencyBased Medical Education Program,5.41,3.52,6.87,6.15,5.53,6.15,6.06,4.79,6.36
Effect of Big Data and Analytics on Managing Projects,7.01,5.63,7.63,7.31,5.96,6.15,9.09,5.15,6.85
Hot Off the Press: Predicting Intraday Risk and Liquidity with News Analytics,3.81,6.34,5.09,3.46,4.04,5.1,3.03,4.05,5.87
Practicable optimization for portfolios that contain nonfungible tokens,3.01,2.11,3.82,3.85,4.04,3.16,3.46,3.07,3.67
Advancement in business analytics tools for higher financial performance,4.61,4.93,4.33,6.92,4.47,4.22,6.06,3.93,4.89
Insight-Driven Digital Engineering - A Key Enabler Driving Operational Intelligence in the Energy Industry,9.42,7.04,10.69,10.77,8.51,9.49,8.23,7.36,10.76
"Little rewards, big changes: Using exercise analytics to motivate sustainable changes in physical activity",2.0,2.82,2.8,2.69,2.98,3.69,3.03,2.94,5.13
The role of big data analytics and organizational agility in improving organizational performance of business processing organizations,7.41,8.45,8.65,11.54,7.02,6.33,6.49,6.87,8.07
