,Title,Abstract,Criterios,Words,category_id
0,A Dashboard to Support Management of Business Analytics Capabilities,"Business analytics (BA) systems create value and provide competitive advantage for organisations. They involve technology and data infrastructure, BA capabilities and business processes that provide useful insights and support decision-making. To provide value and competitive advantage, BA capabilities should be valuable, rare and inimitable, and have organisational support (VRIO). In this paper, we develop and evaluate a prototype dashboard for the VRIO assessment of BA capabilities. The dashboard is intended to support the strategic management of BA capabilities. We discuss implications of the prototype dashboard for researchers and practitioners and suggest directions for future research. © 2015 Taylor & Francis. A Dashboard to Support Management of Business Analytics Capabilities",Alineamiento estatégico,business analytics  system create value provide competitive advantage organisation involve technology  infrastructure  capability business process provide  insight support decision provide value competitive advantage  capability valuable rare inimitable organisational support   develop evaluate prototype dashboard  assessment  capability dashboard intended support strategic   capability discus implication prototype dashboard researcher practitir suggest direction future research taylor francis dashboard support  business analytics capability,0
1,"Project portfolio selection problems: A review of models, uncertainty approaches, solution techniques, and case studies","Project portfolio selection has been the focus of many scholars in the last two decades. The number of studies on the strategic process has significantly increased over the past decade. Despite this increasing trend, previous studies have not been yet critically evaluated. This paper, therefore, aims to presents a comprehensive review of project portfolio selection and optimization studies focusing on the evaluation criteria, selection approach, solution approach, uncertainty modeling, and applications. This study reviews more than 140 papers on project portfolio selection research topic to identify the gaps and to present future trends. The findings show that not only the financial criteria but also social and environmental aspects of project portfolios have been focused by researchers in project portfolio selection in recent years. In addition, meta-heuristics and heuristics approach to finding the solution of mathematical models have been the critical research by scholars. Expert systems, artificial intelligence, and big data science have not been considered in project portfolio selection in the previous studies. In future, researchers can investigate the role of sustainability, resiliency, foreign investment, and exchange rates in project portfolio selection studies, and they can focus on artificial intelligence environments using big data and fuzzy stochastic optimization techniques. © 2019 The Author(s). Project portfolio selection problems: A review of models, uncertainty approaches, solution techniques, and case studies",Manejo de valor,  selection focus many scholar last  decade number study strategic process significantly increased past decade despite increasing trend previous study  critically evaluated  therefore  present comprehensive review   selection optimization study focusing evaluation criterion selection  solution  uncertainty modeling application study review    selection research topic identify  present future trend finding show financial criterion  social environmental aspect    researcher   selection recent year addition metaheuristics heuristic  finding solution mathematical model critical research scholar expert system artificial intelligence big  science considered   selection previous study future researcher investigate  sustainability resiliency foreign investment exchange rate   selection study focus artificial intelligence environment using big  fuzzy stochastic optimization technique author   selection problem review model uncertainty  solution technique case study,1
2,A decision-making framework for project portfolio planning at Intel Corporation,"The work we describe addresses the problem of deciding between project-funding opportunities under budget and headcount constraints. Although the projects lead to products that yield revenue in the market, complex interactions between the projects and products make the selection of a portfolio difficult. Furthermore, the senior managers in the company have a wealth of business intuition that can inform the required decisions. We combine modeling, simulation, and optimization techniques to provide a set of the best portfolios possible from the proposed projects and resulting products. We also provide a rich set of analysis and visualization tools for the decision makers to use in exploring the suggested portfolios and applying their intuition to make the final selection. The resulting interplay between analytics and intuition produces better business solutions through a more focused and effective debate in a shorter time than previously achieved. © 2015 INFORMS. A decision-making framework for project portfolio planning at Intel Corporation",Alineamiento estatégico, describe address problem deciding funding opportunity budget headcount constraint although  lead product yield revenue market complex interaction  product  selection  difficult furthermore senior manager company wealth business intuition inform required decision combine modeling simulation optimization technique provide  best  possible proposed  resulting product  provide rich  analysis visualization tool decision   exploring suggested  applying intuition  final selection resulting interplay analytics intuition produce better business solution  effective debate shorter  previously achieved informs decision frame   planning intel corporation,0
3,Big data analytics in innovation processes: which forms of dynamic capabilities should be developed and how to embrace digitization?,"Purpose: The purpose of this paper is to analyze, from a dynamic capabilities perspective, the role of big data analytics in supporting firms' innovation processes. 
Design/methodology/approach: Relevant literature is reviewed and critically assessed. An interpretive methodology is used to analyze empirical data from interviews of big data analytics experts at firms within digitally related sectors. 
Findings: This study shows how firms leverage big data to gain “richer” and “deeper” data at the inter-sections between the digital and physical worlds. The authors provide evidence for the importance of counterintuitive strategies aimed at developing innovative products, services or solutions with characteristics that may initially diverge, even significantly, from established customer/user needs. 
Practical implications: The authors’ findings offer insights to help practitioners manage innovation processes in the physical world while taking investments in big data analytics into account. 
Originality/value: The authors provide insights into the evolution of scholarly research on innovation directed toward opportunities to create a competitive advantage by offering new products, services or solutions diverging, even significantly, from established customer demand. © 2021, Rosita Capurro, Raffaele Fiorentino, Stefano Garzella and Alessandro Giudici. Big data analytics in innovation processes: which forms of dynamic capabilities should be developed and how to embrace digitization?",Alineamiento estatégico,   analyze dynamic capability perspective  big  analytics supporting firm innovation process designmethodology relevant literature reviewed critically assessed interpretive methodology  analyze empirical  interview big  analytics expert firm  digitally  sector finding study show firm leverage big  gain richer deeper  intersection digital physical world author provide evidence importance counterintuitive strategy  developing innovative product service solution characteristic  initially diverge even significantly established customerr  practical implication author finding offer insight  practitir manage innovation process physical world taking investment big  analytics account originalityvalue author provide insight evolution scholarly research innovation directed toward opportunity create competitive advantage offering  product service solution diverging even significantly established customer demand rosita capurro raffaele fiorentino stefano garzella alessandro giudici big  analytics innovation process form dynamic capability developed embrace digitization,0
4,A Data-driven project categorization process for portfolio selection,"Purpose: Categorizing projects allows for better alignment of a portfolio with the organizational strategy and goals. An appropriate project categorization helps understand portfolio’s structure and enables proper project portfolio selection (PPS). In practice, project categorization is, however, conducted in intuitive approaches. Furthermore, little attention has been given to project categorization methods in the project management literature. The purpose of this paper is to provide researchers and practitioners with a data-driven project categorization process designed for PPS. Design/methodology/approach: The suggested process was modeled considering the main characteristics of project categorization systems revealed from the literature. The clustering analysis is used as the core-computing technology, allowing for an empirically based categorization. This study also presents a real-world case study in the automotive industry to illustrate the proposed approach. Findings: This study confirmed the potential of clustering analysis for a consistent project categorization. The most important attributes that influenced the project grouping have been identified including strategic and intrinsic features. The proposed approach helps increase the visibility of the portfolio’s structure and the comparability of its components. Originality/value: There is a lack of research regarding project categorization methods, particularly for the purpose of PPS. A novel data-driven process is proposed to help mitigate the issues raised by prior researchers including the inconsistencies, ambiguities and multiple interpretations related to the taken-for-granted categories. The suggested approach is also expected to facilitate projects evaluation and prioritization within appropriate categories and contribute in PPS effectiveness. © 2021, Emerald Publishing Limited. A Data-driven project categorization process for portfolio selection",Alineamiento estatégico, categorizing  allows better alignment   strategy goal appropriate  categorization  understand  structure enables proper   selection  practice  categorization however conducted intuitive  furthermore little attention given  categorization method   literature   provide researcher practitir driven  categorization process designed  designmethodology suggested process modeled considering main characteristic  categorization system revealed literature clustering analysis  corecomputing technology allowing empirically based categorization study  present realworld case study automotive industry illustrate proposed  finding study confirmed potential clustering analysis consistent  categorization important attribute influenced  grouping identified including strategic intrinsic feature proposed   increase visibility  structure comparability compnt originalityvalue lack research regarding  categorization method particularly   novel driven process proposed  mitigate issue raised prior researcher including inconsistency ambiguity multiple interpretation  takenforgranted category suggested   expected facilitate  evaluation prioritization  appropriate category contribute  effectiveness emerald publishing limited driven  categorization process  selection,0
5,How to measure and manage the UK Government’s major project portfolio,"Purpose: The purpose of this paper is to stimulate changes to the way performance data is used to improve performance taking the government’s use of project data as an example. Design/methodology/approach: This paper uses systems theory to review the way the government’s major projects portfolio should be analysed. Findings: This paper concludes that broader engagement in the analytics process should be considered as a way of improving insights and learning from reviews. The paper suggests that report alone has limited value. Research limitations/implications: By taking a systems approach, this study raises questions about the methods used to manage data analysis and system improvements. Systems thinking is a useful tool to consider applications such as the performance of the government’s project portfolio, but there are many other approaches that can be applied. Practical implications: This study makes very specific recommendations around the roles and responsibilities of people and teams at different levels in the system. Roles and activities are described together with recommendations about interfering in and overreaching these roles and activities. Originality/value: This paper synthesises a number of systems approaches together with a view of why “we measure” to create a framework for analysing approaches to performance improvement. The practical application provided here gives insights into how these approaches can be used in real-life contexts. © 2020, Emerald Publishing Limited. How to measure and manage the UK Government’s major project portfolio",Alineamiento estatégico,   stimulate change  performance   improve performance taking government    example designmethodology   system theory review  government major   analysed finding  concludes broader engagement analytics process considered  improving insight learning review  suggests report  limited value research limitationsimplications taking system  study raise question method  manage  analysis system improvement system thinking  tool consider application performance government   many  applied practical implication study  specific recommendation around  responsibility people team different level system   described together recommendation interfering overreaching   originalityvalue  synthesis number system  together view measure create frame analysing  performance improvement practical application provided give insight   reallife context emerald publishing limited measure manage  government major  ,0
6,Machine learning in project analytics: a data-driven framework and case study,"The analytic procedures incorporated to facilitate the delivery of projects are often referred to as project analytics. Existing techniques focus on retrospective reporting and understanding the underlying relationships to make informed decisions. Although machine learning algorithms have been widely used in addressing problems within various contexts (e.g., streamlining the design of construction projects), limited studies have evaluated pre-existing machine learning methods within the delivery of construction projects. Due to this, the current research aims to contribute further to this convergence between artificial intelligence and the execution construction project through the evaluation of a specific set of machine learning algorithms. This study proposes a machine learning-based data-driven research framework for addressing problems related to project analytics. It then illustrates an example of the application of this framework. In this illustration, existing data from an open-source data repository on construction projects and cost overrun frequencies was studied in which several machine learning models (Python’s Scikit-learn package) were tested and evaluated. The data consisted of 44 independent variables (from materials to labour and contracting) and one dependent variable (project cost overrun frequency), which has been categorised for processing under several machine learning models. These models include support vector machine, logistic regression, k-nearest neighbour, random forest, stacking (ensemble) model and artificial neural network. Feature selection and evaluation methods, including the Univariate feature selection, Recursive feature elimination, SelectFromModel and confusion matrix, were applied to determine the most accurate prediction model. This study also discusses the generalisability of using the proposed research framework in other research contexts within the field of project management. The proposed framework, its illustration in the context of construction projects and its potential to be adopted in different contexts will significantly contribute to project practitioners, stakeholders and academics in addressing many project-related issues. © 2022, The Author(s). Machine learning in project analytics: a data-driven framework and case study",Alineamiento estatégico,analytic procedure incorporated facilitate delivery  often referred  analytics  technique focus retrospective reporting understanding underlying relationship  informed decision although machine learning algorithm widely  addressing problem  various context  streamlining design construction  limited study evaluated  machine learning method  delivery construction    research  contribute convergence artificial intelligence execution construction  evaluation specific  machine learning algorithm study proposes machine learningbased driven research frame addressing problem   analytics illustrates example application frame illustration   opensource  repository construction  cost overrun frequency studied several machine learning model python scikitlearn package tested evaluated  consisted independent variable material labour contracting  dependent variable  cost overrun frequency categorised processing several machine learning model model include support vector machine logistic regression knearest neighbour random forest stacking ensemble model artificial neural  feature selection evaluation method including univariate feature selection recursive feature elimination selectfrommodel confusion matrix applied determine accurate prediction model study  discus generalisability using proposed research frame research context  field   proposed frame illustration context construction  potential adopted different context significantly contribute  practitir stakeholder academic addressing many  issue author machine learning  analytics driven frame case study,0
7,A dashboard to support management of business analytics capabilities,"Business analytics (BA) systems create value and provide competitive advantage for organisations. They involve technology and data infrastructure, BA capabilities, and business processes that provide useful insights and support decision-making. To provide value and competitive advantage, BA capabilities should be valuable, rare, inimitable and have organisational support (VRIO). In this paper, we develop and evaluate a prototype dashboard for the VRIO assessment of BA capabilities. The dashboard is intended to support the strategic management of BA capabilities. We discuss implications of the prototype dashboard for researchers and practitioners and suggest directions for future research. © 2014 The authors and IOS Press. All rights reserved. A dashboard to support management of business analytics capabilities",Alineamiento estatégico,business analytics  system create value provide competitive advantage organisation involve technology  infrastructure  capability business process provide  insight support decision provide value competitive advantage  capability valuable rare inimitable organisational support   develop evaluate prototype dashboard  assessment  capability dashboard intended support strategic   capability discus implication prototype dashboard researcher practitir suggest direction future research author  press right reserved dashboard support  business analytics capability,0
8,"A new strategic approach for R&D
project portfolio selection using
efficiency-uncertainty maps","Purpose – New business practices and the globalization of markets force firms to take innovation as the
fundamental pillar of their competitive strategy. Research and Development (R&D) plays a vital role in innovation. As technology advances and product life cycles become shorter, firms rely on R&D as a strategy to invigorate innovation. R&D project portfolio selection is a complex and challenging task. Despite the management’s efforts to implement the best project portfolio selection practices, many projects continue to fail or miss their target. The problem is that selecting R&D projects requires a deep understanding of strategic vision and technical capabilities. However, many decision-makers lack technological insight or strategic vision. This article aims to provide amethod to capitalize on the expertise of R&Dprofessionals to assistmanagers inmaking informed and effective decisions. It also provides a framework for aligning the portfolio of R&D projects with the organizational vision and mission.
Design/methodology/approach – This article proposes a new strategic approach for R&D project portfolio
selection using efficiency-uncertainty maps.
Findings – The proposed strategy plane helps decision-makers align R&D project portfolios with their strategies to combine a strategic view and numerical analysis in this research. The proposed strategy plane consists of four areas: Exploitation Zone, Challenge Zone, Desperation Zone and Discretion Zone. Mapping the project into this strategic plane would help decision-makers align their project portfolio according to the corporate perspectives.
Originality/value – The new approach combines the efficiency and uncertainty dimensions in portfolio selection into an integrated framework that: (i) provides a complete representation of the stochastic decision-making processes, (ii) models the endogenous uncertainty inherent in the project selection process and (iii) proposes a computationally practical and visually unique solution procedure for classifying desirable and undesirable R&D projects.
Keywords Project management, Risk management, Research and development, Efficiency, Uncertainty,
Strategy map Paper type Research paper A new strategic approach for R&D
project portfolio selection using
efficiency-uncertainty maps",Alineamiento estatégico,  business practice globalization market force firm take innovation fundamental pillar competitive strategy research development  play vital  innovation technology advance product life cycle become shorter firm rely  strategy invigorate innovation    selection complex challenging task despite  effort implement best   selection practice many  continue fail miss target problem selecting   requires deep understanding strategic vision technical capability however many decisionrs lack technological insight strategic vision article  provide amethod capitalize expertise  dprofessionals assistmanagers  informed effective decision  provides frame aligning     vision mission designmethodology article proposes  strategic     selection using efficiencyuncertainty  finding proposed strategy plane  decisionrs align    strategy combine strategic view numerical analysis research proposed strategy plane consists four area exploitation  challenge  desperation  discretion  mapping  strategic plane would  decisionrs align   according corporate perspective originalityvalue   combine efficiency uncertainty dimension  selection integrated frame provides complete representation stochastic decision process  model endogenous uncertainty inherent  selection process  proposes computationally practical visually unique solution procedure classifying desirable undesirable   keywords   risk  research development efficiency uncertainty strategy   type research   strategic     selection using efficiencyuncertainty ,0
9,Big data team process methodologies: A literature review and the identification of key factors for a project's success,"This paper reports on our review of published research relating to how teams work together to execute Big Data projects. Our findings suggest that there is no agreed upon standard for executing these projects but that there is a growing research focus in this area and that an improved process methodology would be useful. In addition, our synthesis also provides useful suggestions to help practitioners execute their projects, specifically our identified list of 33 important success factors for executing Big Data efforts, which are grouped by our six identified characteristics of a mature Big Data organization. © 2016 IEEE. Big data team process methodologies: A literature review and the identification of key factors for a project's success",Manejo de valor, report review published research relating team  together execute big   finding suggest agreed upon standard executing  growing research focus area improved process methodology would  addition synthesis  provides  suggestion  practitir execute  specifically identified list important success factor executing big  effort grouped  identified characteristic mature big   ieee big  team process methodology literature review identification  factor  success,1
