Title,Link,Abstract,Name,Category,Criteria
Managing big data of offshore project lifecycle through investment information system,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088764343&doi=10.4043%2f28602-ms&partnerID=40&md5=dba06e4d7968ee942700f0844ae9ae39,"Big Data is popular term in some recent years and become leverage for business trend around the world. Absolutely 100% agree, all the business uses Information Technology for expanding their business and even survive on the market. IT is not supporting b",Capacity management - Capacity planning,Capacity management,Capacity planning
Governance arrangements for IT project portfolio management: Qualitative insights and a quantitative modeling approach,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930830334&doi=10.1007%2f978-3-658-05661-2&partnerID=40&md5=8125e14ab4c47da0e27929ac0ef49fe0,"Due to the growing importance of IT-based innovations, contemporary firms face an excessive number of proposals for IT projects. As typically only a fraction of these projects can be implemented with the given capacity, IT project portfolio management as",Capacity management - Capacity planning,Capacity management,Capacity planning
Project Portfolio Selection Considering the Fuzzy Chance Constraint of Water Environmental Restoration,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164296914&doi=10.3390%2fw15132428&partnerID=40&md5=1f99c707a3d75f7281914bb9d5a7268f,"The water environment restoration project portfolio (WERP) selection is discussed in this paper. By complying with the analysis of the project?s multidimensional property and operation mode, this paper develops the chance constraint and the management co",Capacity management - Capacity planning,Capacity management,Capacity planning
Study of the project portfolio model and system approach in space engineering management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904658934&partnerID=40&md5=0b9104987045ecc431de7edc274b4ca5,"At present, for the leap-forward development, the aerospace engineering was faced with opportunities and challenges. Contradiction of the needs, capacities and resources highlighted, the traditional single aerospace project management methods cannot meet",Capacity management - Capacity planning,Capacity management,Capacity planning
Portfolio management in non-profit organizations: The case of groningen's municipality,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893103804&partnerID=40&md5=58e63981bc47d9e53ebe0208023696f7,"The purpose of this research is to develop a method to support governing the information function, and in particular, the planning and prioritization of IT projects. Groningen's municipality serves as a case study organization. The core of the methodolog",Capacity management - Capacity planning,Capacity management,Capacity planning
Optimization of time and resources in a multi project environment: A case study,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081099332&partnerID=40&md5=1aa003f0668c06a578c33cda8019bd4c,Strategic capacity planning is top management decision and its tough task. This paper talks about Strategic Capacity Planning for the entire plant/ company for next two years and devising a Excel template for the same to get optimal solution using Excel ,Capacity management - Capacity planning,Capacity management,Capacity planning
Predicting Project Outcomes with the Association of Project Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143059154&doi=10.2118%2f210795-MS&partnerID=40&md5=fef8335f784d88f60d7bc0c7e1b6d2f0,"Project professionals place great value in accurately predicting project outcomes. Itis therefore unsurprising that there has been a rapid acceptance of a new suite of tools promising to forecastproject outcomes better than ever before. Within a few years the use of project data analytics has become widespread throughout project delivery organisations; they have become the norm. Most closely associated with dashboards,project data analytics is transforming projects' ability to see problems sooner and act quicker. Project data analytics however has not yet been 'professionalised'. No single organisation has yet solved how to holistically get the very best out of analytics to deliver more predictable projects, but many are trying across multiple industries. Some organisations have great solutions and ideas, but itis not yet encoded in how the profession delivers. Petrofac as part of the Project Data Analytics Task Force [1&2], a cross industry working group, have collaborated with the Association of Project Management (APM) [3] to publish a ground-breaking guide[4] designed to help project delivery organisations get started in project data analytics. In addition, a five step framework*is offered which is designed for project delivery organisations who are further long their journey with analytics. This framework recommends the steps organisations can take to improve their project predictability from basic systems, through to dashboards and onto machine learning and artificial intelligence. It also references the capabilities organisations need to consider forthe benefits to become embedded. The paper explores how superior project performance is best achieved when project data analytics is blended with the insights and actions our people bring to delivering projects; to improve resultsthis blend of data and people is noted as being essential. The paper highlights this as the most significant factor as to why data analytics programmesmay not bring the value organisations expect and why step 4 (automated performance) of the model is seen as the pivot to success. On realisation of step 5 (intelligent performance), an organisation would be expected to have embraced the market leading approaches to maximising project performance and be well placed to achieve market leading returns on investment and margin. The paper advocates that organisations should: • Adopt a 3-click rule to project information • Send the right action, to the right person, at the right time • Blend human and data insights by quantifying perceptions and makinginsights actionable • Automate Project Data Analytics into the working rhythm of project delivery This paper is deliberately aimed at the project professional and not the data science community. It simplifiesthe typical technical jargon around analytics and provides a wide variety of examples, tips and graphics that the project professional can easily relate to. *For clarity, the five step framework is solely the work of Petrofac and no third party organisation has either been asked to comment on or endorse this. No direct link should be inferred between the Petrofac framework and the Association of Project Management, the only connection is the author's involvement in both. Copyright © 2022, Society of Petroleum Engineers.",Capacity management - Capacity planning,Capacity management,Capacity planning
Key success factors in Business Intelligence,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878681775&doi=10.37380%2fjisib.v1i1.19&partnerID=40&md5=3b062115cde1f23409c75a753fd2a5ae,"Business Intelligence can bring critical capabilities to an organization, but the implementation of such capabilities is often plagued with problems. Why is it that certain projects fail, while others succeed? The aim of this article is to identify the factors that are present in successful Business Intelligence projects and to organize them into a framework of critical success factors. A survey was conducted during the spring of 2011 to collect primary data on Business Intelligence projects. Findings confirm that Business Intelligence projects are wrestling with both technological and non-technological problems, but the non-technological problems are found to be harder to solve as well as more time consuming than their counterparts. The study also shows that critical success factors for Business Intelligence projects are different from success factors for Information Systems projects in general. Business Intelligences projects have critical success factors that are unique to the subject matter. Major differences can be found primarily among non-technological factors, such as the presence of a specific business need and a clear vision to guide the project. Success depends on types of project funding, the business value provided by each iteration in the project and the alignment of the project to a strategic vision for Business Intelligence at large. Furthermore, the study provides a framework for critical success factors that, explains sixty-one percent of variability of success for projects. Areas which should be given special attention include making sure that the Business Intelligence solution is built with the end users in mind, that the Business Intelligence solution is closely tied to the company's strategic vision and that the project is properly scoped and prioritized to concentrate on the best opportunities first.",Capacity management - Capacity planning,Capacity management,Capacity planning
Data-driven demand response characterization and quantification,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034783857&doi=10.1109%2fPTC.2017.7981009&partnerID=40&md5=d726fba8c58c009f2f7761dec6fc76e4,"Analysis of load behavior in demand response (DR) schemes is important to evaluate the performance of participants. Very few real-world experiments have been carried out and quantification and characterization of the response is a difficult task. Nevertheless it will be a necessary tool for portfolio management of consumers in a DR framework. In this paper we develop methods to quantify and characterize the amount of DR in a load. The contribution to the aggregated load from each household is quantified on a daily basis, showing the potential variability of the response in time. Clustering on the average values and standard deviation of the contribution regroups households with the same average response. Independent Component Analysis (ICA) is used to characterize different DR delivery profiles. © 2017 IEEE.",Capacity management - Capacity planning,Capacity management,Capacity planning
The interplay between dynamic capabilities? dimensions and their relationship to project portfolio agility and success,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162226274&doi=10.1016%2fj.ijproman.2023.102469&partnerID=40&md5=c5b00369a7756b57220dbcdd0efda165,"Recent literature emphasizes agility's importance for a project portfolio's success in a dynamic environment. Conceptually, dynamic capabilities should be relevant antecedents for portfolio agility since they help organizations cope with dynamic environm",Capacity management - organizational capabilities,Capacity management,Organizational capabilities
